Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,4.050000,4.120000,4.010000,4.030000,3.825828,561600
2022-06-17,4.090000,4.090000,3.920000,4.000000,3.797348,1524900
2022-06-20,4.000000,4.060000,3.960000,4.010000,3.806841,607000
2022-06-21,4.030000,4.080000,3.970000,4.010000,3.806841,552900
2022-06-22,4.000000,4.030000,3.930000,4.000000,3.797348,561900
2022-06-23,4.000000,4.000000,3.850000,3.890000,3.692921,1701400
2022-06-24,3.900000,3.970000,3.890000,3.940000,3.740387,790700
2022-06-27,3.980000,4.050000,3.960000,4.000000,3.797348,564200
2022-06-28,4.010000,4.050000,3.960000,3.980000,3.778361,708800
2022-06-29,3.990000,4.050000,3.970000,3.990000,3.787854,354000
2022-06-30,4.000000,4.080000,3.950000,4.020000,3.816334,491800
2022-07-01,4.030000,4.040000,3.970000,4.020000,3.816334,467500
2022-07-04,4.030000,4.030000,3.980000,4.000000,3.797348,326800
2022-07-05,4.000000,4.000000,3.900000,3.930000,3.730894,858000
2022-07-06,3.960000,3.970000,3.890000,3.970000,3.768868,518500
2022-07-07,3.970000,4.050000,3.950000,3.970000,3.768868,422300
2022-07-08,4.000000,4.000000,3.900000,3.930000,3.730894,713200
2022-07-11,3.920000,3.930000,3.860000,3.860000,3.664440,867100
2022-07-12,3.860000,3.900000,3.860000,3.890000,3.692921,357200
2022-07-13,3.890000,3.890000,3.790000,3.800000,3.607480,1518100
2022-07-14,3.790000,3.810000,3.700000,3.750000,3.560014,1188600
2022-07-15,3.760000,3.760000,3.660000,3.700000,3.512547,1145900
2022-07-18,3.720000,3.740000,3.630000,3.640000,3.455586,1379000
2022-07-19,3.690000,3.750000,3.640000,3.750000,3.560014,592100
2022-07-20,3.740000,3.800000,3.720000,3.790000,3.597987,748600
2022-07-21,3.800000,3.800000,3.480000,3.640000,3.455586,3401600
2022-07-22,3.660000,3.700000,3.590000,3.700000,3.512547,1386300
2022-07-25,3.710000,3.730000,3.620000,3.650000,3.465080,1170300
2022-07-26,3.630000,3.660000,3.590000,3.650000,3.465080,984900
2022-07-27,3.660000,3.880000,3.650000,3.860000,3.664440,2485600
2022-07-28,3.880000,3.910000,3.800000,3.840000,3.645453,2342500
2022-07-29,3.880000,4.030000,3.840000,4.000000,3.797348,1326200
